a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
1.57718,1.93329,0.10729,0.36852,37.48958,0.45215,-1.20867,35.55629,0.34485,1.46088,1264.25005,0.11892
0.59040,1.90165,0.24065,0.04891,44.92190,0.28539,-0.54149,43.02024,0.04474,0.29321,1850.74147,0.00200
0.96093,1.70454,0.31566,0.14099,15.58402,0.57343,-0.81994,13.87948,0.25776,0.67231,192.64008,0.06644
1.12032,0.68283,0.17246,0.49464,0.81972,0.41951,-0.62568,0.13689,0.24705,0.39148,0.01874,0.06103
0.66032,1.35097,0.20263,0.23911,-1.69576,0.32727,-0.42121,-3.04672,0.12464,0.17742,9.28252,0.01554
0.56512,1.44973,0.48056,0.09197,9.21238,0.55516,-0.47315,7.76265,0.07460,0.22387,60.25876,0.00557
0.81807,1.41647,0.26441,0.42337,0.95771,0.36052,-0.39470,-0.45876,0.09611,0.15579,0.21046,0.00924
1.67079,0.91221,0.42905,0.39230,5.60083,0.89067,-1.27849,4.68862,0.46162,1.63453,21.98319,0.21309
1.17765,1.37991,0.16721,0.25276,5.48453,0.41459,-0.92489,4.10462,0.24739,0.85542,16.84790,0.06120
0.53546,1.46296,0.34284,0.05622,15.06976,0.40059,-0.47923,13.60681,0.05776,0.22966,185.14518,0.00334
1.24515,1.98168,0.15458,0.08933,24.59675,0.32847,-1.15582,22.61507,0.17389,1.33592,511.44147,0.03024
1.53865,1.98688,0.15136,0.45404,30.42827,0.54168,-1.08462,28.44138,0.39032,1.17640,808.91232,0.15235
0.61913,0.62849,0.45768,0.09547,8.87509,0.52333,-0.52366,8.24660,0.06566,0.27422,68.00648,0.00431
0.60414,1.27859,0.12705,0.13382,3.03003,0.21479,-0.47032,1.75144,0.08775,0.22120,3.06755,0.00770
1.47632,1.29944,0.22973,0.39084,5.62171,0.69612,-1.08547,4.32227,0.46639,1.17825,18.68203,0.21752
1.19781,0.59021,0.32492,0.64538,-0.62826,0.61417,-0.55243,-1.21847,0.28926,0.30518,1.48468,0.08367
1.30374,0.64501,0.28015,0.68718,0.59004,0.69989,-0.61656,-0.05498,0.41974,0.38014,0.00302,0.17618
1.89077,0.85196,0.25973,0.75900,18.20233,1.20157,-1.13177,17.35036,0.94185,1.28090,301.03516,0.88707
1.43538,0.63369,0.40211,0.35299,6.22464,0.92358,-1.08239,5.59095,0.52148,1.17157,31.25874,0.27194
0.55424,0.95469,0.20525,0.10247,8.26893,0.24240,-0.45177,7.31424,0.03716,0.20410,53.49806,0.00138
1.17080,1.40089,0.30627,0.32890,2.57618,0.58040,-0.84191,1.17529,0.27412,0.70881,1.38130,0.07514
0.81277,1.89589,0.14655,0.15115,5.60579,0.31158,-0.66162,3.70989,0.16503,0.43774,13.76332,0.02724
1.70889,1.68505,0.22187,0.37982,36.37339,0.54645,-1.32906,34.68835,0.32458,1.76641,1203.28130,0.10535
1.01915,1.96342,0.35639,0.18548,7.47421,0.54546,-0.83367,5.51080,0.18907,0.69501,30.36888,0.03575
1.64721,0.76226,0.30103,0.37187,3.72791,0.81617,-1.27535,2.96565,0.51514,1.62651,8.79509,0.26537
0.53872,0.70275,0.48525,0.19350,2.09541,0.54641,-0.34522,1.39266,0.06116,0.11917,1.93951,0.00374
1.25921,1.15927,0.14227,0.19010,7.29247,0.51840,-1.06911,6.13320,0.37613,1.14300,37.61615,0.14148
