a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
4000.00000,1.87909,1.24545,0.49686,0.38409,5.99201,1.08926,-1.49500,4.74657,0.59240,2.23502,22.52991,0.35093
4000.00000,1.80209,1.70889,0.41601,0.26287,11.51278,0.88011,-1.53922,9.80389,0.46410,2.36919,96.11630,0.21539
4000.00000,1.01915,1.96342,0.35639,0.12943,15.43055,0.55683,-0.88972,13.46714,0.20044,0.79160,181.36374,0.04018
4000.00000,0.76226,1.25385,0.25947,0.15044,6.43533,0.39021,-0.61182,5.18148,0.13074,0.37432,26.84774,0.01709
4000.00000,0.96772,1.25921,0.27580,0.18494,6.80446,0.47854,-0.78279,5.54524,0.20274,0.61276,30.74974,0.04110
4000.00000,0.72804,0.59202,0.41230,0.33457,1.17458,0.51422,-0.39347,0.58256,0.10192,0.15482,0.33938,0.01039
4000.00000,0.95491,0.65157,0.37686,0.35438,1.84031,0.56307,-0.60053,1.18875,0.18621,0.36064,1.41312,0.03467
4000.00000,1.29056,1.13913,0.15228,0.28454,5.02791,0.48736,-1.00602,3.88878,0.33508,1.01209,15.12264,0.11228
4000.00000,1.74131,1.60042,0.40772,0.27123,10.46710,0.87489,-1.47007,8.86668,0.46717,2.16111,78.61802,0.21825
4000.00000,1.64043,0.70566,0.31412,0.58926,1.92834,0.83447,-1.05117,1.22268,0.52035,1.10496,1.49494,0.27076
4000.00000,1.18157,1.76654,0.13923,0.16739,12.14714,0.39824,-1.01418,10.38060,0.25901,1.02855,107.75690,0.06709
4000.00000,1.06383,1.09171,0.28378,0.22830,5.45502,0.53079,-0.83553,4.36331,0.24701,0.69811,19.03844,0.06102
4000.00000,0.88201,1.76131,0.11537,0.12963,11.58051,0.27763,-0.75238,9.81920,0.16226,0.56607,96.41669,0.02633
4000.00000,1.45500,1.42090,0.12666,0.26409,7.60772,0.51084,-1.19092,6.18682,0.38417,1.41828,38.27674,0.14759
4000.00000,0.56251,0.62719,0.38653,0.22888,1.53158,0.45105,-0.33363,0.90439,0.06452,0.11131,0.81792,0.00416
4000.00000,1.02455,1.66198,0.36455,0.15323,11.06776,0.57375,-0.87133,9.40578,0.20920,0.75921,88.46861,0.04377
